ccpp_ubigeo,ccpp_name,year,month,week,day,variable,value
1601130017,QUISTOCOCHA,2023,6,24,2023-06-16,rain,0
1601130017,QUISTOCOCHA,2023,6,24,2023-06-16,temp_out,19.932510288065846
1601130017,QUISTOCOCHA,2023,6,24,2023-06-17,out_humm,86.26388888888889
1601130017,QUISTOCOCHA,2023,6,24,2023-06-17,rain,0
1601130017,QUISTOCOCHA,2023,6,24,2023-06-17,temp_out,22.68402777777778
1601130017,QUISTOCOCHA,2023,6,25,2023-06-18,out_humm,82.15972222222223
1601130017,QUISTOCOCHA,2023,6,25,2023-06-18,rain,0
1601130017,QUISTOCOCHA,2023,6,25,2023-06-18,temp_out,25.729861111111113
1601130017,QUISTOCOCHA,2023,6,25,2023-06-19,out_humm,83.20138888888889
1601130017,QUISTOCOCHA,2023,6,25,2023-06-19,rain,0
1601130017,QUISTOCOCHA,2023,6,25,2023-06-19,temp_out,25.700694444444444
1601130017,QUISTOCOCHA,2023,6,25,2023-06-20,out_humm,82.65972222222223
1601130017,QUISTOCOCHA,2023,6,25,2023-06-20,rain,0
1601130017,QUISTOCOCHA,2023,6,25,2023-06-20,temp_out,26.680555555555557
1601130017,QUISTOCOCHA,2023,6,25,2023-06-21,out_humm,87.13194444444444
1601130017,QUISTOCOCHA,2023,6,25,2023-06-21,rain,0.001736111111111111
1601130017,QUISTOCOCHA,2023,6,25,2023-06-21,temp_out,26.408333333333335
1601130017,QUISTOCOCHA,2023,6,25,2023-06-22,out_humm,82.52140077821012
1601130017,QUISTOCOCHA,2023,6,25,2023-06-22,rain,0
1601130017,QUISTOCOCHA,2023,6,25,2023-06-22,temp_out,27.353696498054475
1601130017,QUISTOCOCHA,2023,6,25,2023-06-23,out_humm,89.084388185654
1601130017,QUISTOCOCHA,2023,6,25,2023-06-23,rain,0.007426160337552743
1601130017,QUISTOCOCHA,2023,6,25,2023-06-23,temp_out,26.287763713080167
1601130017,QUISTOCOCHA,2023,6,25,2023-06-24,out_humm,85.625
1601130017,QUISTOCOCHA,2023,6,25,2023-06-24,rain,0.007013888888888889
1601130017,QUISTOCOCHA,2023,6,25,2023-06-24,temp_out,27.530555555555555
1601130017,QUISTOCOCHA,2023,6,26,2023-06-25,out_humm,88.45138888888889
1601130017,QUISTOCOCHA,2023,6,26,2023-06-25,rain,0.005277777777777778
1601130017,QUISTOCOCHA,2023,6,26,2023-06-25,temp_out,26.29375
1601130017,QUISTOCOCHA,2023,6,26,2023-06-26,out_humm,90.20833333333333
1601130017,QUISTOCOCHA,2023,6,26,2023-06-26,rain,0.021180555555555557
1601130017,QUISTOCOCHA,2023,6,26,2023-06-26,temp_out,25.718055555555555
1601130017,QUISTOCOCHA,2023,6,26,2023-06-27,out_humm,86.64583333333333
1601130017,QUISTOCOCHA,2023,6,26,2023-06-27,rain,0
1601130017,QUISTOCOCHA,2023,6,26,2023-06-27,temp_out,26.633333333333333
1601130017,QUISTOCOCHA,2023,6,26,2023-06-28,out_humm,86.86111111111111
1601130017,QUISTOCOCHA,2023,6,26,2023-06-28,rain,0.23993055555555556
1601130017,QUISTOCOCHA,2023,6,26,2023-06-28,temp_out,27.022916666666667
1601130017,QUISTOCOCHA,2023,6,26,2023-06-29,out_humm,93.11904761904762
1601130017,QUISTOCOCHA,2023,6,26,2023-06-29,rain,0.3301428571428571
1601130017,QUISTOCOCHA,2023,6,26,2023-06-29,temp_out,25.180476190476192
1601130017,QUISTOCOCHA,2023,6,26,2023-06-30,out_humm,89.91666666666667
1601130017,QUISTOCOCHA,2023,6,26,2023-06-30,rain,0.12166666666666666
1601130017,QUISTOCOCHA,2023,6,26,2023-06-30,temp_out,25.195138888888888
1601130017,QUISTOCOCHA,2023,7,26,2023-07-01,out_humm,86.71527777777777
1601130017,QUISTOCOCHA,2023,7,26,2023-07-01,rain,0
1601130017,QUISTOCOCHA,2023,7,26,2023-07-01,temp_out,26.119444444444444
1601130017,QUISTOCOCHA,2023,7,27,2023-07-02,out_humm,79.54861111111111
1601130017,QUISTOCOCHA,2023,7,27,2023-07-02,rain,0
1601130017,QUISTOCOCHA,2023,7,27,2023-07-02,temp_out,27.388194444444444
1601130017,QUISTOCOCHA,2023,7,27,2023-07-03,out_humm,81.3125
1601130017,QUISTOCOCHA,2023,7,27,2023-07-03,rain,0
1601130017,QUISTOCOCHA,2023,7,27,2023-07-03,temp_out,27.09027777777778
1601130017,QUISTOCOCHA,2023,7,27,2023-07-04,out_humm,87.03472222222223
1601130017,QUISTOCOCHA,2023,7,27,2023-07-04,rain,0
1601130017,QUISTOCOCHA,2023,7,27,2023-07-04,temp_out,26.50347222222222
1601130017,QUISTOCOCHA,2023,7,27,2023-07-05,out_humm,89.63194444444444
1601130017,QUISTOCOCHA,2023,7,27,2023-07-05,rain,0.088125
1601130017,QUISTOCOCHA,2023,7,27,2023-07-05,temp_out,26.843055555555555
1601130017,QUISTOCOCHA,2023,7,27,2023-07-06,out_humm,90.13888888888889
1601130017,QUISTOCOCHA,2023,7,27,2023-07-06,rain,0.003541666666666667
1601130017,QUISTOCOCHA,2023,7,27,2023-07-06,temp_out,26.538194444444443
1601130017,QUISTOCOCHA,2023,7,27,2023-07-07,out_humm,88.89671361502347
1601130017,QUISTOCOCHA,2023,7,27,2023-07-07,rain,0
1601130017,QUISTOCOCHA,2023,7,27,2023-07-07,temp_out,26.765727699530515
1601130017,QUISTOCOCHA,2023,7,27,2023-07-08,out_humm,85.49305555555556
1601130017,QUISTOCOCHA,2023,7,27,2023-07-08,rain,0
1601130017,QUISTOCOCHA,2023,7,27,2023-07-08,temp_out,27.341666666666665
1601130017,QUISTOCOCHA,2023,7,28,2023-07-09,out_humm,85.55555555555556
1601130017,QUISTOCOCHA,2023,7,28,2023-07-09,rain,0.27131944444444445
1601130017,QUISTOCOCHA,2023,7,28,2023-07-09,temp_out,26.977777777777778
1601130017,QUISTOCOCHA,2023,7,28,2023-07-10,out_humm,84.70833333333333
1601130017,QUISTOCOCHA,2023,7,28,2023-07-10,rain,0
1601130017,QUISTOCOCHA,2023,7,28,2023-07-10,temp_out,27.341666666666665
1601130017,QUISTOCOCHA,2023,7,28,2023-07-11,out_humm,83.49305555555556
1601130017,QUISTOCOCHA,2023,7,28,2023-07-11,rain,0
1601130017,QUISTOCOCHA,2023,7,28,2023-07-11,temp_out,26.632638888888888
1601130017,QUISTOCOCHA,2023,7,28,2023-07-12,out_humm,86.79166666666667
1601130017,QUISTOCOCHA,2023,7,28,2023-07-12,rain,0.03173611111111111
1601130017,QUISTOCOCHA,2023,7,28,2023-07-12,temp_out,27.038194444444446
1601130017,QUISTOCOCHA,2023,7,28,2023-07-13,out_humm,93.08510638297872
1601130017,QUISTOCOCHA,2023,7,28,2023-07-13,rain,0
1601130017,QUISTOCOCHA,2023,7,28,2023-07-13,temp_out,25.693617021276594
