fid,Latitud,Longitud,Fecha,foto,class,type
150,-4.0424,-73.4378,2023-03-30,DCIM/cobertura_20230330161850028.jpg,Vegetation,cobertura
151,-4.0414,-73.4377,2023-03-30,DCIM/cobertura_20230330162354406.jpg,Vegetation,cobertura
152,-4.0404,-73.4374,2023-03-30,DCIM/cobertura_20230330162422124.jpg,Vegetation,cobertura
153,-3.8887,-73.3515,2023-03-31,DCIM/cobertura_20230331145625448.jpg,Vegetation,cobertura
154,-3.8891,-73.3524,2023-03-31,DCIM/cobertura_20230331150006525.jpg,Vegetation,cobertura
155,-3.8891,-73.353,2023-03-31,DCIM/cobertura_20230331150239439.jpg,Vegetation,cobertura
156,-3.8889,-73.3538,2023-03-31,DCIM/cobertura_20230331150535111.jpg,Vegetation,cobertura
157,-3.889,-73.3547,2023-03-31,DCIM/cobertura_20230331150750181.jpg,Vegetation,cobertura
158,-3.8886,-73.3552,2023-03-31,DCIM/cobertura_20230331151028159.jpg,Vegetation,cobertura
159,-3.888,-73.3544,2023-03-31,DCIM/cobertura_20230331152104363.jpg,Vegetation,cobertura
160,-3.8869,-73.3555,2023-03-31,DCIM/cobertura_20230331152230745.jpg,Vegetation,cobertura
161,-3.888,-73.3539,2023-03-31,DCIM/cobertura_20230331152709690.jpg,Vegetation,cobertura
162,-3.8955,-73.3528,2023-03-31,DCIM/cobertura_20230331155239049.jpg,Vegetation,cobertura
163,-3.897,-73.3527,2023-03-31,DCIM/cobertura_20230331155604842.jpg,Vegetation,cobertura
164,-3.8974,-73.3523,2023-03-31,DCIM/cobertura_20230331160548095.jpg,Vegetation,cobertura
165,-3.8973,-73.3526,2023-03-31,DCIM/cobertura_20230331161443039.jpg,Vegetation,cobertura
166,-3.8223,-73.3257,2023-04-01,DCIM/cobertura_20230401110355648.jpg,Vegetation,cobertura
167,-3.8226,-73.326,2023-04-01,DCIM/cobertura_20230401110743518.jpg,Vegetation,cobertura
168,-3.8226,-73.3263,2023-04-01,DCIM/cobertura_20230401110957719.jpg,Vegetation,cobertura
169,-3.8227,-73.3268,2023-04-01,DCIM/cobertura_20230401111451954.jpg,Vegetation,cobertura
170,-3.8223,-73.327,2023-04-01,DCIM/cobertura_20230401111654558.jpg,Vegetation,cobertura
171,-3.822,-73.3274,2023-04-01,DCIM/cobertura_20230401112247639.jpg,Vegetation,cobertura
172,-3.8221,-73.3277,2023-04-01,DCIM/cobertura_20230401112548777.jpg,Vegetation,cobertura
173,-3.8224,-73.3277,2023-04-01,DCIM/cobertura_20230401112658715.jpg,Vegetation,cobertura
174,-3.8228,-73.3277,2023-04-01,DCIM/cobertura_20230401112909509.jpg,Vegetation,cobertura
175,-3.8234,-73.3277,2023-04-01,DCIM/cobertura_20230401113113639.jpg,Vegetation,cobertura
176,-3.8238,-73.3277,2023-04-01,DCIM/cobertura_20230401113335187.jpg,Vegetation,cobertura
177,-3.8243,-73.3277,2023-04-01,DCIM/cobertura_20230401113447669.jpg,Vegetation,cobertura
178,-3.8245,-73.3283,2023-04-01,DCIM/cobertura_20230401113706782.jpg,Vegetation,cobertura
179,-3.8243,-73.3275,2023-04-01,DCIM/cobertura_20230401113946865.jpg,Vegetation,cobertura
180,-3.8241,-73.3267,2023-04-01,DCIM/cobertura_20230401114350139.jpg,Vegetation,cobertura
181,-3.8235,-73.3267,2023-04-01,DCIM/cobertura_20230401114529174.jpg,Vegetation,cobertura
182,-3.8232,-73.3258,2023-04-01,DCIM/cobertura_20230401114832267.jpg,Vegetation,cobertura
183,-3.8234,-73.3272,2023-04-01,DCIM/cobertura_20230401115319113.jpg,Vegetation,cobertura
184,-3.8248,-73.3283,2023-04-01,DCIM/cobertura_20230401115719916.jpg,Vegetation,cobertura
185,-3.8255,-73.3285,2023-04-01,DCIM/cobertura_20230401115941083.jpg,Vegetation,cobertura
186,-3.8255,-73.3293,2023-04-01,DCIM/cobertura_20230401120239679.jpg,Vegetation,cobertura
187,-3.8264,-73.3294,2023-04-01,DCIM/cobertura_20230401120603002.jpg,Vegetation,cobertura
188,-3.8259,-73.3258,2023-04-01,DCIM/cobertura_20230401120656887.jpg,Vegetation,cobertura
189,-3.8268,-73.3295,2023-04-01,DCIM/cobertura_20230401120925425.jpg,Vegetation,cobertura
190,-3.8274,-73.3294,2023-04-01,DCIM/cobertura_20230401121044170.jpg,Vegetation,cobertura
