fid;UBIGEO;NOMCP;DEP;PROV;DIST;UBIGEOCP;LNG;LAT;DENGUE;MALARIA;LEPTOSPIROSIS;GROUP;fid,UBIGEO,NOMCP,DEP,PROV,DIST,UBIGEOCP,LNG,LAT,GROUP
41;160113;NUEVO SAN JUAN;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130086;-73.531539;-4.330362;0;0;0;INNOVALAB;"41,""160113"",NUEVO SAN JUAN,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130086"",""-73.531539"",""-4.330362"",INNOVALAB"
42;160113;SANTA CATALINA;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130088;-73.483562;-4.121844;0;1;0;INNOVALAB;"42,""160113"",SANTA CATALINA,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130088"",""-73.483562"",""-4.121844"",INNOVALAB"
43;160113;23 DE FEBRERO;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130089;-73.458473;-4.14977;0;0;0;INNOVALAB;"43,""160113"",23 DE FEBRERO,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130089"",""-73.458473"",""-4.14977"",INNOVALAB"
44;160113;SAN MARTIN II ZONA;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130090;-73.437879;-4.179054;0;0;0;INNOVALAB;"44,""160113"",SAN MARTIN II ZONA,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130090"",""-73.437879"",""-4.179054"",INNOVALAB"
45;160113;SHUSHUNA;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130097;-73.335523;-3.830152;1;0;0;INNOVALAB;"45,""160113"",SHUSHUNA,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130097"",""-73.335523"",""-3.830152"",INNOVALAB"
46;160113;LOS DELFINES;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130069;-73.3394;-3.844786;18;8;44;INNOVALAB;"46,""160113"",LOS DELFINES,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130069"",""-73.3394"",""-3.844786"",INNOVALAB"
47;160113;CALIPSO;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130093;-73.347699;-3.874062;2;8;1;INNOVALAB;"47,""160113"",CALIPSO,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130093"",""-73.347699"",""-3.874062"",INNOVALAB"
48;160301;TUPAC AMARU II;LORETO;LORETO;NAUTA;1603010041;-73.60862;-4.542548;0;0;0;INNOVALAB;"48,""160301"",TUPAC AMARU II,LORETO,LORETO,NAUTA,""1603010041"",""-73.60862"",""-4.542548"",INNOVALAB"
49;160301;SANTA CRUZ;LORETO;LORETO;NAUTA;1603010024;-73.54581;-4.480263;0;0;0;INNOVALAB;"49,""160301"",SANTA CRUZ,LORETO,LORETO,NAUTA,""1603010024"",""-73.54581"",""-4.480263"",INNOVALAB"
50;160301;1 DE FEBRERO;LORETO;LORETO;NAUTA;1603010099;-73.55276;-4.356997;0;0;0;INNOVALAB;"50,""160301"",1 DE FEBRERO,LORETO,LORETO,NAUTA,""1603010099"",""-73.55276"",""-4.356997"",INNOVALAB"
51;160301;PUERTO PRADO;LORETO;LORETO;NAUTA;1603010101;-73.538462;-4.471702;0;0;0;INNOVALAB;"51,""160301"",PUERTO PRADO,LORETO,LORETO,NAUTA,""1603010101"",""-73.538462"",""-4.471702"",INNOVALAB"
52;160301;NAUTA;LORETO;LORETO;NAUTA;1603010001;-73.569425;-4.501522;202;145;138;INNOVALAB;"52,""160301"",NAUTA,LORETO,LORETO,NAUTA,""1603010001"",""-73.569425"",""-4.501522"",INNOVALAB"
53;160112;SAN JUAN DE MUNICH;LORETO;MAYNAS;BELEN;1601120049;-73.32016;-3.93564;8;7;25;INNOVALAB;"53,""160112"",SAN JUAN DE MUNICH,LORETO,MAYNAS,BELEN,""1601120049"",""-73.32016"",""-3.93564"",INNOVALAB"
54;160112;5 DE DICIEMBRE;LORETO;MAYNAS;BELEN;1601120076;-73.318977;-3.881458;0;1;0;INNOVALAB;"54,""160112"",5 DE DICIEMBRE,LORETO,MAYNAS,BELEN,""1601120076"",""-73.318977"",""-3.881458"",INNOVALAB"
55;160113;VILLA CRUZ;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130098;-73.373493;-3.853171;0;0;1;INNOVALAB;"55,""160113"",VILLA CRUZ,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130098"",""-73.373493"",""-3.853171"",INNOVALAB"
56;160113;SAN CIRILO;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130099;-73.455098;-4.056845;0;1;0;INNOVALAB;"56,""160113"",SAN CIRILO,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130099"",""-73.455098"",""-4.056845"",INNOVALAB"
57;160113;LLANCHAMA;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130006;-73.409216;-3.857972;0;74;1;DIRESA;"57,""160113"",LLANCHAMA,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130006"",""-73.409216"",""-3.857972"",DIRESA"
58;160113;EL VARILLAL;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130024;-73.351417;-3.88769;14;156;11;DIRESA;"58,""160113"",EL VARILLAL,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130024"",""-73.351417"",""-3.88769"",DIRESA"
59;160113;EL PAUJIL;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130032;-73.437658;-4.0423;1;19;0;DIRESA;"59,""160113"",EL PAUJIL,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130032"",""-73.437658"",""-4.0423"",DIRESA"
60;160113;ZUNGAROCOCHA;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130018;-73.354973;-3.828583;6;14;0;DIRESA;"60,""160113"",ZUNGAROCOCHA,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130018"",""-73.354973"",""-3.828583"",DIRESA"
61;160113;QUISTOCOCHA;LORETO;MAYNAS;SAN JUAN BAUTISTA;1601130017;-73.326179;-3.822999;18;20;28;DIRESA;"61,""160113"",QUISTOCOCHA,LORETO,MAYNAS,SAN JUAN BAUTISTA,""1601130017"",""-73.326179"",""-3.822999"",DIRESA"
