ubigeocp,pr_2010,pr_2021,ro_2021,ro_2010,soil_2021,soil_2010,tmmx_2021,tmmx_2010,tmmn_2021,tmmn_2010,etp_2021,etp_2010,humidity_2021,humidity_2010,pop_2020,pop_2010,def_2010,def_2021,ghsl_2010,ghsl_2020,ln_2021,ln_2014
1603010001,1618.591762,2706.113471,1675.5356206,664.544928,525.1258676,493.6562998,383.4258528,383.8954651,265.2036685,265.6558642,31.620841145454545,34.868179872727275,0.2189683,0.2168639,1.016366,0.8843343,0.1317537,0.9672927,5035.7971149,5717.7871729,1.5335425,1.0740457
1601120049,1695.9311729,2985.6136961,1959.0914226,763.2870522,499.312923,433.0766711,376.6341856,377.3145582,262.8583866,263.5387592,32.529376363636366,33.55465468181818,0.2183139,0.2176578,0.5712499,0.51248,0.3390603,0.7262546,125.8339475,358.7922885,0.7308233,0.348718
1601120076,1705.492646,2993.5144357,1966.5642549,773.7641262,491.5273362,424.5898034,376.7404942,377.1919031,262.4295449,262.8809538,31.95604569090909,32.63164125454546,0.2184758,0.217836,2.2069639,1.2575575,0.4965966,0.5536597,2933.0417851,3942.549333,1.8066673,0.83094
1601130098,1709.7137907,3007.1836452,1976.469607,775.7044847,482.896535,417.3873478,377.9152559,378.2185675,262.1632363,262.4665479,30.83142770909091,30.721581172727273,0.2185176,0.2177996,1.9173546,1.0702678,0.9953165,1.0503479,4944.087314,6493.4176589,1.9348823,1.209281
1601130099,1681.0956156,2948.0258608,1920.4182809,746.1363884,502.9850582,440.9149864,378.2717959,378.8247857,262.9403072,263.493297,32.30860684545455,32.986264,0.2177925,0.216725,0.4874126,0.2969599,0.9083583,0.3841248,691.9221841,1033.5852894,0.8232039,0.3665942
1601130006,1705.0464183,3005.9239077,1977.1495591,774.3150203,481.2230457,417.4602645,378.2214158,378.4385663,262.2281185,262.445269,31.94217730909091,31.234807454545457,0.218638,0.2178199,0.5955959,0.5111705,0.3436316,0.5917834,550.0778027,769.0767469,0.8277564,0.4004471
1601130024,1707.225223,3002.8927156,1973.3673935,773.0794351,490.1191427,423.9776858,376.9163479,377.3191675,262.0516601,262.4544797,31.59608740909091,31.95943267272727,0.218355,0.2176561,1.898861,1.1489897,0.6764592,1.3166787,2609.7929366,3708.6681891,1.5268432,0.7229853
1601130032,1683.5988905,2956.7495666,1928.0003963,747.5052256,503.5046312,440.4502204,378.0985537,378.6597256,262.9563178,263.5174897,32.55225776363636,33.0584693,0.2178342,0.2167827,0.5709041,0.3407466,0.9742469,0.5113246,524.3125099,894.4472736,0.7300797,0.3551799
1601130018,1713.5721499,3007.2327113,1976.7372902,779.8006534,479.716712,413.7272709,378.2160784,378.5479432,262.2325924,262.5644572,29.943572990909093,30.547794945454545,0.2184753,0.2177882,2.155796,1.1769242,1.3054753,0.6896828,9553.3281589,12047.9691611,3.0009487,1.9247578
1601130017,1716.7261834,3006.6965736,1976.6428996,783.9076055,480.71275,413.9346455,377.9672608,378.3140325,262.1280452,262.4748168,29.59571877272727,31.036656863636363,0.2185253,0.2178766,2.9079007,2.0141855,0.9463822,0.8606427,17821.7729579,21062.5241397,4.7523575,3.4028121
